Rent50_2,Rent50_0,Rent50_1,Rent50_3,Rent50_4,county,State,countyname,CBSASub,Areaname,county_town_name,pop2010,state_alpha
788,469,651,981,1053,93,27,Meeker County,NCNTY27093N27093,"Meeker County, MN",Meeker County,23300,MN
780,580,654,1061,1314,33,13,Burke County,METRO12260M12260,"Augusta-Richmond County, GA-SC MSA",Burke County,23316,GA
632,400,515,787,991,205,21,Rowan County,NCNTY21205N21205,"Rowan County, KY",Rowan County,23333,KY
919,570,735,1326,1331,119,8,Teller County,METRO17820N08119,"Teller County, CO HUD Metro FMR Area",Teller County,23350,CO
593,435,438,768,792,115,21,Johnson County,NCNTY21115N21115,"Johnson County, KY",Johnson County,23356,KY
657,458,554,854,878,149,18,Starke County,NCNTY18149N18149,"Starke County, IN",Starke County,23363,IN
733,551,554,944,980,147,51,Prince Edward County,NCNTY51147N51147,"Prince Edward County, VA",Prince Edward County,23368,VA
600,478,481,752,885,147,29,Nodaway County,NCNTY29147N29147,"Nodaway County, MO",Nodaway County,23370,MO
602,397,445,817,924,195,29,Saline County,NCNTY29195N29195,"Saline County, MO",Saline County,23370,MO
780,552,587,1098,1108,293,48,Limestone County,NCNTY48293N48293,"Limestone County, TX",Limestone County,23384,TX
614,418,518,905,908,57,28,Itawamba County,NCNTY28057N28057,"Itawamba County, MS",Itawamba County,23401,MS
1024,647,776,1275,1668,5,33,Cheshire County,NCNTY33005N33005,"Cheshire County, NH",Keene city,23409,NH
700,550,590,1031,1069,7,22,Assumption Parish,NCNTY22007N22007,"Assumption Parish, LA",Assumption Parish,23421,LA
466,350,389,577,632,107,72,Orocovis Municipio,METRO41980N72923,"Barranquitas-Aibonito-Quebradillas, PR HUD Metro FMR Area",Orocovis Municipio,23423,PR
676,511,514,842,1118,81,13,Crisp County,NCNTY13081N13081,"Crisp County, GA",Crisp County,23439,GA
907,569,732,1243,1384,177,29,Ray County,METRO28140M28140,"Kansas City, MO-KS HUD Metro FMR Area",Ray County,23494,MO
750,551,554,934,1002,205,13,Mitchell County,NCNTY13205N13205,"Mitchell County, GA",Mitchell County,23498,GA
1179,710,957,1614,1620,107,8,Routt County,NCNTY08107N08107,"Routt County, CO",Routt County,23509,CO
1170,749,939,1457,1693,3,9,Hartford County,METRO25540M25540,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Simsbury town,23511,CT
637,444,471,903,960,133,26,Osceola County,NCNTY26133N26133,"Osceola County, MI",Osceola County,23528,MI
887,673,748,1307,1311,51,49,Wasatch County,NCNTY49051N49051,"Wasatch County, UT",Wasatch County,23530,UT
1130,913,939,1562,1966,53,37,Currituck County,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",Currituck County,23547,NC
709,422,535,962,1211,9,26,Antrim County,NCNTY26009N26009,"Antrim County, MI",Antrim County,23580,MI
1010,741,747,1333,1576,99,51,King George County,NCNTY51099N51099,"King George County, VA",King George County,23584,VA
796,584,588,1025,1064,35,13,Butts County,METRO12060N13035,"Butts County, GA HUD Metro FMR Area",Butts County,23655,GA
654,480,483,822,1158,111,13,Fannin County,NCNTY13111N13111,"Fannin County, GA",Fannin County,23682,GA
